,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
671,672,160615,鹏华沪深300指数(LOF)A,2021-11-12,2.4040,2.4640,-0.12,0.92,0.17,-0.95,0.63,5.16,44.12,79.67,-1.03,151.71,5.2540,0.12%
672,673,007505,华夏AH经济蓝筹股票A,2021-11-12,1.3476,1.3476,-0.24,1.51,-1.43,0.77,0.63,5.87,37.13,,5.07,34.76,5.0514,0.12%
673,674,164825,工银中证京津冀协同发展指数C,2021-11-15,1.1335,1.1335,0.29,2.26,-2.75,-4.56,0.62,3.96,18.59,20.90,3.79,13.19,3.2052,0.00%
674,675,009208,建信沪深300指数增强(LOF)C,2021-11-12,1.3814,1.3814,-0.14,0.95,-0.13,-2.80,0.61,4.57,,,-0.73,38.24,4.8979,0.00%
675,676,004742,易方达深证100ETF联接C,2021-11-15,1.8925,1.8925,-0.42,0.11,0.55,-0.47,0.60,6.89,56.43,107.22,-0.55,86,6.7640,0.00%
676,677,006939,鹏华沪深300指数(LOF)C,2021-11-12,1.8320,1.8320,-0.11,0.94,0.16,-0.97,0.55,4.99,43.57,,-1.19,83.20,5.0459,0.00%
677,678,007472,华夏创蓝筹ETF联接A,2021-11-12,1.8008,1.8008,0.21,0.46,4.85,-3.72,0.50,6.09,62.47,,-0.08,80.08,5.2422,0.12%
678,679,007506,华夏AH经济蓝筹股票C,2021-11-12,1.3382,1.3382,-0.25,1.50,-1.46,0.69,0.47,5.54,36.31,,4.80,33.82,4.7351,0.00%
679,680,008239,中泰沪深300增强C,2021-11-15,1.5227,1.5227,0.03,0.75,-1.35,-0.64,0.47,7.86,,,-0.01,52.27,6.8961,0.00%
680,681,160135,南方中证高铁产业指数(LOF),2021-11-15,0.9804,0.9804,0.17,2.14,-0.37,1.32,0.38,0.81,1.97,-4.88,1.35,-55.73,-0.4339,0.06%
681,682,001588,天弘中证800指数A,2021-11-15,1.3648,1.3648,-0.27,0.72,-0.57,-0.81,0.38,6.17,46.12,77.15,0.29,36.48,5.4396,0.10%
682,683,006524,前海开源MSCI中国A股指数A,2021-11-15,1.6072,1.7072,-0.36,0.15,-0.59,-0.91,0.32,8.12,40.58,,-0.07,75.90,7.5764,0.12%
683,684,007473,华夏创蓝筹ETF联接C,2021-11-12,1.7837,1.7837,0.21,0.45,4.81,-3.82,0.30,5.66,61.16,,-0.43,78.37,4.8249,0.00%
684,685,005607,华宝中证500增强A,2021-11-15,1.2378,1.2378,-0.38,0.61,-1.20,-7.12,0.29,2.16,40.45,49.78,0.70,23.78,1.3210,0.12%
685,686,008832,海富通中证长三角领先ETF联接,2021-11-15,1.1097,1.1097,0.23,1.46,-0.10,0.65,0.29,8.72,,,6.88,10.97,7.6213,0.08%
686,687,001589,天弘中证800指数C,2021-11-15,1.3455,1.3455,-0.27,0.72,-0.59,-0.85,0.28,5.95,45.55,76.09,0.12,34.55,5.2336,0.00%
687,688,006525,前海开源MSCI中国A股指数C,2021-11-15,1.5973,1.6973,-0.36,0.14,-0.61,-0.96,0.23,7.90,39.99,,-0.24,74.83,7.3533,0.00%
688,689,006600,人保沪深300指数,2021-11-15,1.5616,1.5616,-0.19,0.80,-0.63,-0.26,0.22,6.18,48.74,,-1.11,56.16,5.4103,0.06%
689,690,009384,大摩MSCI中国A股增强,2021-11-15,1.1178,1.1178,-1.11,-0.34,-0.61,-4.90,0.21,8.72,,,-1.95,11.78,9.2500,0.15%
690,691,010673,兴全中证800六个月持有指数A,2021-11-15,0.9932,0.9932,0.80,2.13,-1.60,0.32,0.19,,,,,-0.68,-1.47,0.12%
691,692,008592,天弘沪深300指数增强A,2021-11-15,1.4588,1.4588,-0.34,0.07,-2.93,-3.11,0.12,15.66,,,4.06,45.88,14.6640,0.15%
692,693,010509,中银彭博政策性银行债券1-5年,2021-11-15,1.0037,1.0062,-0.07,-0.18,-0.69,-0.90,0.12,,,,,0.62,0.689925,0.05%
693,694,001015,华夏沪深300指数增强A,2021-11-15,2.0670,2.0670,-0.14,0.83,-1.94,-2.22,0.10,9.37,42.85,73.26,1.08,106.70,8.6044,0.12%
694,695,005608,华宝中证500增强C,2021-11-15,1.2203,1.2203,-0.38,0.60,-1.22,-7.22,0.10,1.76,39.34,48,0.35,22.03,0.9228,0.00%
695,696,007846,华富中债-0-5年中高等级信用债指数A,2021-11-15,1.0250,1.0250,0,-0.01,-0.01,0.02,0.09,2.01,,,1.47,2.50,2.0205,0.05%
696,697,007815,嘉实新兴科技100ETF联接A,2021-11-12,1.3365,1.3365,0.19,0.57,0.82,-6.81,0.06,-1.32,33.62,,-2.33,33.64,-0.6615,0.12%
697,698,502013,长盛中证申万一带一路指数(LOF),2021-11-12,1.4702,1.4702,-0.02,0.86,1.60,-1.35,-0.01,9.62,41.38,49.37,3.46,-35.69,8.9054,0.12%
698,699,010674,兴全中证800六个月持有指数C,2021-11-15,0.9901,0.9901,0.79,2.11,-1.64,0.21,-0.01,,,,,-0.99,-1.77,0.00%
699,700,008593,天弘沪深300指数增强C,2021-11-15,1.4507,1.4507,-0.34,0.06,-2.96,-3.18,-0.03,15.32,,,3.79,45.07,14.3250,0.00%
700,701,007816,嘉实新兴科技100ETF联接C,2021-11-12,1.3310,1.3310,0.18,0.57,0.80,-6.86,-0.05,-1.52,33.07,,-2.50,33.09,-0.8566,0.00%
701,702,008199,华夏创新100ETF联接A,2021-11-12,1.2874,1.2874,-0.09,1.05,1.88,-1.19,-0.12,-0.27,,,-4.57,28.74,-0.6406,0.12%
702,703,009904,民生加银中证200指数增强A,2021-11-15,1.0464,1.0464,-0.51,0.39,-0.77,-5.37,-0.12,,,,-0.76,4.64,5.18,0.15%
