,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
138,139,005734,华夏沪港通恒生ETF联接C,2021-11-12,1.1606,1.1606,0.29,1.77,0.84,-4.04,-7.82,-3.76,-7.66,-0.80,-6.50,-8.89,-4.4381,0.00%
139,140,004998,长信全球债券人民币,2021-11-12,1.1234,1.1234,0.95,1.78,-5.40,-7.65,-7.83,-7.55,-2.36,9.67,-9.64,12.34,-7.8425,0.08%
140,141,457001,国富亚洲机会股票(QDII),2021-11-12,1.5830,1.75,0.44,2.39,0.83,-6.11,-8.23,5.44,60.35,95.11,-3.75,79.64,3.2707,0.15%
141,142,008284,易方达全球医药行业(QDII)人民币,2021-11-12,1.4710,1.4710,0.90,5.29,-4.24,-14.90,-8.46,16.58,,,4.04,47.10,13.9515,0.15%
142,143,050015,博时大中华亚太精选,2021-11-12,1.3510,1.4330,0.97,1.12,6.13,-5.66,-8.90,-3.36,11.56,27.45,-11.87,44.79,-6.0501,0.16%
143,144,164705,汇添富恒生指数A,2021-11-15,0.9972,1.1422,-0.04,2.05,-0.84,-4.75,-9.12,-6.54,-12.30,-9.84,-8.16,14.01,-6.8534,0.12%
144,145,010789,汇添富恒生指数C,2021-11-15,0.9971,0.9971,-0.04,2.06,-0.84,-4.76,-9.15,,,,-8.16,-7.33,-7.295539,0.00%
145,146,000071,华夏恒生ETF联接A,2021-11-12,1.3488,1.3488,0.21,1.78,0.76,-4.96,-9.23,-5.43,-10.60,-3.99,-7.56,34.88,-5.8692,0.12%
146,147,003243,上投摩根中国世纪人民币,2021-11-11,1.9106,1.9106,1.38,-0.35,3.09,-12.70,-9.28,-3.51,36.18,58.69,-13.86,91.06,,0.15%
147,148,006381,华夏恒生ETF联接C,2021-11-12,1.3370,1.3370,0.20,1.77,0.73,-5.04,-9.37,-5.71,-11.14,-4.88,-7.81,-9.67,-6.1557,0.00%
148,149,160924,大成恒生指数,2021-11-12,0.8950,0.8950,0.11,1.59,0.56,-5.39,-9.60,-5.79,-10.77,-6.58,-7.54,-10.50,-6.2827,0.12%
149,150,262001,景顺长城大中华混合(QDII)人民币,2021-11-11,2.1860,2.6070,1.20,0.69,1.91,-9.14,-9.89,7.16,61.96,82.81,-7.88,181.26,,0.16%
150,151,539002,建信新兴市场混合(QDII),2021-11-12,0.8840,0.8840,1.73,2.67,-2,-6.75,-9.98,-8.30,-2.64,1.03,-8.30,-11.60,-8.7719,0.16%
151,152,070012,嘉实海外中国股票混合,2021-11-11,0.9440,0.9460,1.72,1.51,0.85,-3.87,-10.35,-11.96,9.44,19.38,-18.70,-5.45,,0.15%
152,153,160922,大成恒生综合中小型股指数A,2021-11-12,1.0580,1.0580,0.09,2.82,-1.95,-8.16,-10.49,-1.03,5.17,7.09,-5.79,5.80,-1.4898,0.12%
153,154,008751,大成全球美元债(QDII)A人民币,2021-11-11,0.9423,0.9573,0.62,-1.60,-4.38,-11.08,-10.72,-9.51,,,-10.64,-4.42,,0.08%
154,155,008752,大成全球美元债(QDII)C人民币,2021-11-11,0.9334,0.9484,0.61,-1.60,-4.42,-11.32,-11.07,-10.04,,,-11.12,-5.32,,0.00%
155,156,000274,广发亚太中高收益债(QDII)A,2021-11-12,1.1670,1.2370,1.45,1.04,0.98,-9.88,-11.12,-13.81,-13.17,-3.31,-14.13,24.19,-13.6834,0.08%
156,157,010644,富国全球健康生活主题混合(QDII)人民币,2021-11-12,0.9463,0.9463,-0.46,3.51,-2.49,-9.27,-11.22,,,,-5.76,-5.37,-5.37,0.15%
157,158,110031,易方达恒生国企ETF联接A,2021-11-15,0.9846,0.9846,-0.56,2.86,0.36,-4.09,-11.72,-15.30,-17.04,-16.02,-15.29,-1.54,-14.7788,0.12%
158,159,005675,易方达恒生国企ETF联接C,2021-11-15,0.9965,0.9965,-0.57,2.86,0.33,-4.15,-11.82,-15.52,-17.43,-14.38,-15.47,-14.54,-14.9813,0.00%
159,160,161229,国投瑞银中国价值发现股票,2021-11-12,1.34,1.71,0.53,2.92,-0.30,-5.77,-11.90,-15.24,6.94,22.82,-14.05,81.55,-14.9746,0.15%
160,161,862001,光大阳光香港精选混合(QDII)人民币A,2021-11-11,1.0870,1.5126,0.34,1.41,-3.96,-9.75,-12.13,,,,,-17.07,,0.12%
161,162,006778,广发恒生中国企业(QDII)A,2021-11-12,0.8434,0.8434,0.52,3.11,1.84,-3.77,-12.16,-13.39,-13.80,,-13.75,-15.66,-13.2126,0.12%
162,163,160717,嘉实恒生中国企业,2021-11-12,0.6754,0.6754,0.58,3.16,2.04,-4.63,-12.31,-16.30,-19.95,-15.94,-16.38,-32.46,-16.3902,0.15%
163,164,006779,广发恒生中国企业(QDII)C,2021-11-12,0.8428,0.8428,0.52,3.11,1.80,-3.86,-12.35,-13.74,-14.41,,-14.04,-15.72,-13.5590,0.00%
164,165,161831,银华恒生中国企业指数,2021-11-15,0.7626,0.7626,-0.59,3.33,0.83,-3.49,-12.42,-17.44,-17.74,-16.92,-17.54,-8.47,-17.0103,0.12%
