,基金代码,基金简称,2021-12-06-单位净值,2021-12-06-累计净值,2021-12-03-单位净值,2021-12-03-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
70,006863,国联安智能制造混合,1.6545,1.6945,1.6374,1.6774,0.0171,1.04,开放申购,开放赎回,0.15%
71,007944,永赢乾元三年定开,1.1869,1.1869,1.1750,1.1750,0.0119,1.01,暂停申购,暂停赎回,0.15%
72,002407,前海开源恒远灵活配置混合,1.1705,2.0505,1.1588,2.0388,0.0117,1.01,开放申购,开放赎回,0.15%
73,005541,前海开源盛鑫混合A,1.7701,2.6201,1.7526,2.6026,0.0175,1.00,限大额,开放赎回,0.15%
74,005542,前海开源盛鑫混合C,1.7631,2.6131,1.7458,2.5958,0.0173,0.99,限大额,开放赎回,0.00%
75,004871,中银金融地产混合A,1.5106,1.5106,1.4965,1.4965,0.0141,0.94,开放申购,开放赎回,0.15%
76,010312,中银金融地产混合C,1.5047,1.5047,1.4907,1.4907,0.0140,0.94,开放申购,开放赎回,0.00%
77,161721,招商沪深300地产等权重指数A,0.7295,1.3897,0.7230,1.3857,0.0065,0.90,开放申购,开放赎回,0.10%
78,013273,招商沪深300地产等权重指数C,0.7294,0.7294,0.7229,0.7229,0.0065,0.90,开放申购,开放赎回,0.00%
79,012244,广发金融地产精选股票A,0.9726,0.9726,0.9640,0.9640,0.0086,0.89,开放申购,开放赎回,0.15%
80,012245,广发金融地产精选股票C,0.9709,0.9709,0.9623,0.9623,0.0086,0.89,开放申购,开放赎回,0.00%
81,001393,国富金融地产混合C,1.3960,1.3960,1.3840,1.3840,0.0120,0.87,开放申购,开放赎回,0.00%
82,001392,国富金融地产混合A,1.3401,1.3401,1.3285,1.3285,0.0116,0.87,开放申购,开放赎回,0.15%
83,530003,建信优选成长混合A,2.9915,4.7695,2.9660,4.7440,0.0255,0.86,开放申购,开放赎回,0.15%
84,013500,南方金融主题灵活配置混合C,1.5360,1.5360,1.5230,1.5230,0.0130,0.85,开放申购,开放赎回,0.00%
85,255010,国联安稳健混合,1.0820,3.9080,1.0730,3.8990,0.0090,0.84,开放申购,开放赎回,0.15%
86,161211,国投沪深300金融地产联接,1.9449,1.9449,1.9291,1.9291,0.0158,0.82,开放申购,开放赎回,0.12%
87,450002,国富弹性市值混合,1.3595,4.2778,1.3484,4.2667,0.0111,0.82,开放申购,开放赎回,0.15%
88,160628,鹏华中证800地产指数(LOF),0.9930,1.7340,0.9850,1.7290,0.0080,0.81,开放申购,开放赎回,0.12%
89,008828,建信易盛郑商所能源化工期货ETF联接C,0.9759,0.9759,0.9681,0.9681,0.0078,0.81,暂停申购,开放赎回,0.00%
90,020021,国泰上证180金融ETF联接,1.1425,1.6725,1.1334,1.6634,0.0091,0.80,开放申购,开放赎回,0.12%
91,008827,建信易盛郑商所能源化工期货ETF联接A,0.9804,0.9804,0.9726,0.9726,0.0078,0.80,暂停申购,开放赎回,0.15%
92,160814,长盛中证金融地产指数(LOF),0.9363,0.9363,0.9289,0.9289,0.0074,0.80,开放申购,开放赎回,0.12%
93,004702,南方金融主题灵活配置混合A,1.5380,1.5380,1.5260,1.5260,0.0120,0.79,开放申购,开放赎回,0.15%
94,000929,博时黄金D,3.6495,1.5991,3.6217,1.5875,0.0278,0.77,暂停申购,开放赎回,0.05%
95,000930,博时黄金I,3.5836,1.4940,3.5563,1.4827,0.0273,0.77,暂停申购,开放赎回,
96,004138,上银鑫达混合,2.1556,2.1556,2.1393,2.1393,0.0163,0.76,限大额,开放赎回,0.12%
97,005937,工银精选金融地产混合A,1.4887,1.4887,1.4775,1.4775,0.0112,0.76,开放申购,开放赎回,0.15%
98,001539,嘉实中证金融地产ETF联接A,1.3196,1.3196,1.3096,1.3096,0.01,0.76,开放申购,开放赎回,0.12%
99,005999,嘉实中证金融地产ETF联接C,1.2148,1.2148,1.2056,1.2056,0.0092,0.76,开放申购,开放赎回,0.00%
100,165521,信诚中证800金融(LOF)A,1.1088,1.8608,1.1004,1.8524,0.0084,0.76,开放申购,开放赎回,0.12%
101,013121,信诚中证800金融(LOF)C,1.1076,1.1076,1.0993,1.0993,0.0083,0.76,开放申购,开放赎回,0.00%
102,005938,工银精选金融地产混合C,1.4541,1.4541,1.4433,1.4433,0.0108,0.75,开放申购,开放赎回,0.00%
103,161606,融通行业景气混合A,2.5980,4.5430,2.5790,4.5240,0.0190,0.74,开放申购,开放赎回,0.15%
